i,top_vasculature_percent,bottom_vasculature_percent
300,0.5462646484375,2.30560302734375
301,8.06427001953125,4.78515625
302,18.94378662109375,23.62823486328125
303,26.75933837890625,22.503662109375
304,41.87469482421875,35.87188720703125
305,26.3214111328125,33.38623046875
306,26.9073486328125,32.208251953125
307,5.03692626953125,4.07257080078125
308,37.6708984375,35.992431640625
309,24.0020751953125,27.8289794921875
310,22.47161865234375,26.9775390625
311,37.2161865234375,30.5328369140625
312,33.9813232421875,37.44659423828125
313,32.92694091796875,36.03668212890625
314,35.4461669921875,36.798095703125
315,8.6273193359375,10.662841796875
316,0.86517333984375,4.95147705078125
317,0.96282958984375,3.857421875
318,6.73675537109375,6.23321533203125
319,4.85992431640625,0.8392333984375
320,3.14483642578125,0.9796142578125
321,6.7047119140625,4.1015625
322,4.547119140625,2.30255126953125
323,4.193115234375,1.483154296875
324,3.2623291015625,2.001953125
325,3.50341796875,15.32745361328125
326,2.60162353515625,14.7247314453125
327,2.05078125,12.35809326171875
328,4.345703125,10.382080078125
329,5.87615966796875,8.404541015625
330,1.4892578125,14.17694091796875
331,1.97601318359375,7.4981689453125
332,1.97906494140625,5.97076416015625
333,4.14581298828125,18.2830810546875
334,12.84027099609375,16.82586669921875
335,14.46685791015625,15.04364013671875
336,4.6478271484375,5.39093017578125
337,18.85986328125,12.908935546875
338,21.18988037109375,23.2574462890625
339,6.53533935546875,4.55169677734375
340,17.58880615234375,17.7947998046875
341,22.57843017578125,25.5645751953125
342,4.7760009765625,2.6458740234375
343,11.0015869140625,2.05841064453125
344,8.20465087890625,4.31976318359375
345,2.1697998046875,1.97296142578125
346,17.1539306640625,1.0833740234375
347,12.9638671875,3.167724609375
348,1.92108154296875,2.7099609375
349,18.06793212890625,5.4046630859375
350,12.97607421875,5.78460693359375
351,24.1943359375,12.4664306640625
352,7.08160400390625,6.2408447265625
353,7.50885009765625,4.461669921875
354,2.18048095703125,3.533935546875
355,3.69720458984375,13.5894775390625
356,3.37066650390625,10.90545654296875
357,2.35137939453125,2.62908935546875
358,1.0528564453125,12.87689208984375
359,0.49285888671875,12.39776611328125
360,5.18951416015625,1.751708984375
361,7.38372802734375,1.3153076171875
362,4.5684814453125,1.9775390625
363,4.33807373046875,34.58251953125
364,4.73175048828125,0.9918212890625
365,5.328369140625,1.51519775390625
366,5.731201171875,28.85589599609375
367,3.5614013671875,0.8636474609375
368,4.4219970703125,1.22833251953125
369,3.0609130859375,7.4737548828125
370,2.5604248046875,12.08343505859375
371,3.4698486328125,14.959716796875
372,5.24139404296875,5.02166748046875
373,2.77862548828125,7.49359130859375
374,3.16162109375,4.68902587890625
375,5.7464599609375,4.3914794921875
376,2.9571533203125,6.38275146484375
377,3.1158447265625,3.70025634765625
378,9.4757080078125,32.91015625
379,10.91766357421875,13.7237548828125
380,20.269775390625,10.52703857421875
381,7.88116455078125,12.04376220703125
382,12.933349609375,23.03009033203125
383,10.7208251953125,23.06365966796875
384,12.9730224609375,6.55059814453125
385,7.97119140625,16.89605712890625
386,7.44781494140625,17.633056640625
387,6.26983642578125,5.5206298828125
388,4.3975830078125,6.04095458984375
389,5.20782470703125,5.63201904296875
390,11.4654541015625,10.345458984375
391,9.38720703125,4.0740966796875
392,7.5927734375,3.69415283203125
393,13.5528564453125,5.2978515625
394,6.64825439453125,3.875732421875
395,5.096435546875,3.85894775390625
396,6.158447265625,8.67156982421875
397,8.85009765625,21.73614501953125
398,8.9599609375,20.61920166015625
399,4.058837890625,7.40966796875
400,9.45281982421875,0.10528564453125
401,11.46697998046875,16.35589599609375
402,4.36248779296875,10.90545654296875
403,8.60595703125,0.10528564453125
404,10.10894775390625,14.68658447265625
405,2.76947021484375,10.16693115234375
406,4.78363037109375,7.51953125
407,6.30340576171875,13.8702392578125
408,6.121826171875,3.8665771484375
409,2.154541015625,14.57672119140625
410,7.5836181640625,12.8753662109375
411,2.2247314453125,4.90570068359375
412,3.5430908203125,14.8681640625
413,6.04400634765625,12.51220703125
414,7.56072998046875,10.41107177734375
415,6.62078857421875,6.15692138671875
416,5.4779052734375,8.892822265625
417,4.5989990234375,17.822265625
418,0.634765625,18.017578125
419,1.214599609375,9.9334716796875
420,4.52728271484375,20.31402587890625
421,0.7568359375,15.460205078125
422,1.9683837890625,9.29107666015625
423,6.77490234375,5.8624267578125
424,7.85675048828125,6.34613037109375
425,7.3883056640625,3.021240234375
426,2.69012451171875,11.1419677734375
427,5.0445556640625,14.06707763671875
428,5.322265625,14.7918701171875
429,3.948974609375,9.73663330078125
430,4.6783447265625,14.312744140625
431,8.3343505859375,10.8734130859375
432,5.60455322265625,13.30108642578125
433,11.5570068359375,3.52783203125
434,11.376953125,1.3946533203125
435,3.65142822265625,2.92205810546875
436,8.74176025390625,6.44989013671875
437,5.987548828125,8.7249755859375
438,6.32476806640625,2.89764404296875
439,9.075927734375,4.04205322265625
440,9.93194580078125,9.15985107421875
441,28.99932861328125,13.94195556640625
442,15.28472900390625,17.58880615234375
443,9.53216552734375,14.2669677734375
444,12.744140625,11.32659912109375
445,11.20452880859375,17.2027587890625
446,8.16802978515625,9.75494384765625
447,9.94873046875,14.39208984375
448,9.70916748046875,18.23883056640625
449,5.3863525390625,14.1357421875
450,10.65673828125,17.2943115234375
451,12.38555908203125,16.986083984375
452,21.10137939453125,15.985107421875
453,11.52191162109375,16.0614013671875
454,16.888427734375,20.37200927734375
455,21.52252197265625,15.277099609375
